SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,April-3-2026,Single Family Residential,2606 Bush Ave,Richmond,CA,94806,510000,2,1.0,Richmond,713,4000,1943,,715,,Sold,,,https://www.redfin.com/CA/Richmond/2606-Bush-Ave-94806/home/1972705,BAREIS,326001110,N,Y,37.954911,-122.3433467
PAST SALE,May-29-2026,Single Family Residential,626 28th St,Richmond,CA,94804,606000,3,2.0,NE RICHMOND,1433,5000,1970,,423,,Sold,,,https://www.redfin.com/CA/Richmond/626-28th-St-94804/home/1943274,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41125352,N,Y,37.9401647,-122.3406222
PAST SALE,,Single Family Residential,4102 Roosevelt Ave,Richmond,CA,94805,400000,3,2.0,,1305,5000,1941,,307,,,,,https://www.redfin.com/CA/Richmond/4102-Roosevelt-Ave-94805/home/777760,,,N,Y,37.9373601,-122.3296914
PAST SALE,June-3-2026,Single Family Residential,2542 Esmond Ave,Richmond,CA,94804,600000,2,1.0,NE RICHMOND,872,3052,1916,,688,,Sold,,,https://www.redfin.com/CA/Richmond/2542-Esmond-Ave-94804/home/1173572,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41132584,N,Y,37.9450171,-122.3434734
PAST SALE,April-8-2026,Single Family Residential,677 31st St,Richmond,CA,94804,800000,2,1.0,NORTH AND EAST,1204,5000,1949,,664,,Sold,,,https://www.redfin.com/CA/Richmond/677-31st-St-94804/home/1964369,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41130081,N,Y,37.94153,-122.3381787
PAST SALE,,Single Family Residential,2639 Wendell Ave,Richmond,CA,94804,492500,3,2.0,,1302,5995,1956,,378,,,,,https://www.redfin.com/CA/Richmond/2639-Wendell-Ave-94804/home/1752374,,,N,Y,37.9458234,-122.3423379
PAST SALE,June-22-2026,Single Family Residential,2726 Rheem Ave,Richmond,CA,94804,629000,3,1.0,NORTH AND EAST,942,4575,1941,,668,,Sold,,,https://www.redfin.com/CA/Richmond/2726-Rheem-Ave-94804/home/1170736,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41135619,N,Y,37.9496541,-122.3416431
PAST SALE,April-2-2026,Single Family Residential,2420 Bush,Richmond,CA,94806,608000,3,2.0,SAN PABLO VILLA,1250,3500,1965,,486,,Sold,,,https://www.redfin.com/CA/Richmond/2420-Bush-Ave-94806/home/1416559,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41125797,N,Y,37.955198,-122.3449587
PAST SALE,June-22-2026,Single Family Residential,743 30th St,Richmond,CA,94804,540000,2,1.0,NORTH AND EAST,857,2500,1964,,630,,Sold,,,https://www.redfin.com/CA/Richmond/743-30th-St-94804/home/1778699,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41136152,N,Y,37.94325,-122.3386176
