SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,June-25-2026,Single Family Residential,149 Talbert St,San Francisco,CA,94134,980000,3,2.0,VISITATION VALL.,1650,2983,1931,,594,,Sold,,,https://www.redfin.com/CA/San-Francisco/149-Talbert-St-94134/home/788061,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41136564,N,Y,37.7100819,-122.4062693
PAST SALE,July-7-2026,Single Family Residential,18 Talbert St,San Francisco,CA,94134,1068000,2,1.0,SF District 10,1194,2604,1955,,894,,Sold,,,https://www.redfin.com/CA/San-Francisco/18-Talbert-St-94134/home/786647,San Francisco MLS,426139527,N,Y,37.7115089,-122.4062393
PAST SALE,April-11-2026,Single Family Residential,241 Sawyer St,San Francisco,CA,94134,840000,2,1.0,SAN FRANCISCO,1250,1873,1959,,672,,Sold,,,https://www.redfin.com/CA/San-Francisco/241-Sawyer-St-94134/home/1282873,MLSListings,ML82042619,N,Y,37.7143956,-122.4136834
PAST SALE,July-17-2026,Single Family Residential,144 Peabody St,San Francisco,CA,94134,1180000,0,2.0,SF District 10,1605,3646,1962,,735,,Sold,,,https://www.redfin.com/CA/San-Francisco/144-Peabody-St-94134/home/1956221,San Francisco MLS,426135883,N,Y,37.7104991,-122.40759
PAST SALE,April-7-2026,Single Family Residential,115 Arleta Ave,San Francisco,CA,94134,1050000,2,1.0,SF District 10,1000,2495,1940,,1050,,Sold,,,https://www.redfin.com/CA/San-Francisco/115-Arleta-Ave-94134/home/1159069,MetroList,426106096,N,Y,37.7132294,-122.4053014
PAST SALE,May-4-2026,Single Family Residential,239 Sawyer St,San Francisco,CA,94134,1150000,2,1.0,SF District 10,1100,1873,1959,,1045,,Sold,,,https://www.redfin.com/CA/San-Francisco/239-Sawyer-St-94134/home/1222670,San Francisco MLS,426115989,N,Y,37.7144667,-122.4136673
PAST SALE,May-29-2026,Single Family Residential,83 Wabash Ter,San Francisco,CA,94134,1050000,2,1.0,SAN FRANCISCO,1200,2574,1940,,875,,Sold,,,https://www.redfin.com/CA/San-Francisco/83-Wabash-Ter-94134/home/1613851,MLSListings,ML82045523,N,Y,37.7130754,-122.4016871
PAST SALE,March-2-2026,Single Family Residential,22 Tioga Ave,San Francisco,CA,94134,1123000,3,2.0,SF District 10,1665,2500,1946,,674,,Sold,,,https://www.redfin.com/CA/San-Francisco/22-Tioga-Ave-94134/home/1971718,San Francisco MLS,426097707,N,Y,37.7159362,-122.4032354
PAST SALE,March-13-2026,Single Family Residential,24 Tomaso Ct,San Francisco,CA,94134,1280000,4,2.0,SAN FRANCISCO,2105,2591,1979,,608,,Sold,,,https://www.redfin.com/CA/San-Francisco/24-Tomaso-Ct-94134/home/788504,MLSListings,ML82034002,N,Y,37.7096832,-122.4100102
PAST SALE,May-12-2026,Single Family Residential,527 Visitacion Ave,San Francisco,CA,94134,1260000,4,2.0,SF District 10,2120,3402,1928,,594,,Sold,,,https://www.redfin.com/CA/San-Francisco/527-Visitacion-Ave-94134/home/1890886,San Francisco MLS,426116872,N,Y,37.7103921,-122.4049134
PAST SALE,April-13-2026,Single Family Residential,163 Peabody St,San Francisco,CA,94134,450000,1,,SAN FRANCISCO,601,2639,1906,,749,,Sold,,,https://www.redfin.com/CA/San-Francisco/163-Peabody-St-94134/home/1114373,MLSListings,ML82038348,N,Y,37.7102526,-122.4072378
PAST SALE,May-26-2026,Single Family Residential,170 Arleta Ave,San Francisco,CA,94134,1630000,5,4.0,SF District 10,2600,2495,1951,,627,,Sold,,,https://www.redfin.com/CA/San-Francisco/170-Arleta-Ave-94134/home/1775483,San Francisco MLS,426118749,N,Y,37.7138821,-122.406057
PAST SALE,March-13-2026,Single Family Residential,501 Campbell Ave,San Francisco,CA,94134,680000,3,1.0,VISITATION VALL.,1250,2495,1907,,544,,Sold,,,https://www.redfin.com/CA/San-Francisco/501-Campbell-Ave-94134/home/1663674,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41121557,N,Y,37.7151169,-122.4064107
PAST SALE,June-3-2026,Single Family Residential,108 Schwerin St,San Francisco,CA,94134,1137000,3,2.0,SF District 10,1414,2750,1943,,804,,Sold,,,https://www.redfin.com/CA/San-Francisco/108-Schwerin-St-94134/home/1807860,San Francisco MLS,426122054,N,Y,37.7120539,-122.4109559
PAST SALE,March-12-2026,Single Family Residential,100 Ankeny St,San Francisco,CA,94134,1100000,2,1.0,SF District 10,962,1746,1968,,1143,,Sold,,,https://www.redfin.com/CA/San-Francisco/100-Ankeny-St-94134/home/1977061,San Francisco MLS,426099052,N,Y,37.7195759,-122.4050419
PAST SALE,February-12-2026,Single Family Residential,66 Arleta Ave,San Francisco,CA,94134,1125000,3,2.0,SF District 10,1313,2500,1950,,857,,Sold,,,https://www.redfin.com/CA/San-Francisco/66-Arleta-Ave-94134/home/1614533,San Francisco MLS,425087140,N,Y,37.7130407,-122.4039754
PAST SALE,,Single Family Residential,112 Peabody St,San Francisco,CA,94134,1230000,,1.0,,1904,3646,1924,,646,,,,,https://www.redfin.com/CA/San-Francisco/112-Peabody-St-94134/home/789719,,,N,Y,37.710952,-122.4073748
PAST SALE,,Single Family Residential,30 Arleta Ave,San Francisco,CA,94134,1125000,2,1.0,,875,2500,1923,,1286,,,,,https://www.redfin.com/CA/San-Francisco/30-Arleta-Ave-94134/home/1879858,,,N,Y,37.7127364,-122.4032027
PAST SALE,,Single Family Residential,924 Rutland St,San Francisco,CA,94134,1000000,2,2.0,,1297,2747,1931,,771,,,,,https://www.redfin.com/CA/San-Francisco/924-Rutland-St-94134/home/2025162,,,N,Y,37.7110351,-122.408369
PAST SALE,,Single Family Residential,15 Ervine St,San Francisco,CA,94134,1100000,3,3.0,,2157,1900,1989,,510,,,,,https://www.redfin.com/CA/San-Francisco/15-Ervine-St-94134/home/1214347,,,N,Y,37.7176553,-122.4082895
